Time,ch_open_flux,ch_bpoint_flux
2018-10-30 05:36:00,-1.244769e+19,8.530444e+19
2018-10-30 05:48:00,-1.2719189e+19,8.879141e+19
2018-10-30 06:00:00,-1.3063445e+19,8.2254755e+19
2018-10-30 06:12:00,-1.2474708e+19,1.2323626e+20
2018-10-30 06:24:00,-1.3347216e+19,1.01293415e+20
2018-10-30 06:36:00,-1.3586228e+19,7.963914e+19
2018-10-30 06:48:00,-1.2356162e+19,9.157549e+19
2018-10-30 07:00:00,-1.3293723e+19,9.233607e+19
2018-10-30 07:12:00,-1.2913773e+19,1.1034609e+20
2018-10-30 07:24:00,-1.2063582e+19,1.0401683e+20
2018-10-30 07:36:00,-1.1967576e+19,1.1342328e+20
2018-10-30 07:48:00,-1.2927153e+19,1.3227718e+20
