Time,Br,Vr,Np,T,Mass Flux
2018-10-31 13:27:00,0.7237744,379.208,170.8146,71.77358,65597.445
2018-10-31 13:28:00,-9.01029,377.676,161.358,69.16456,61210.957
2018-10-31 13:29:00,-12.968212,370.86218,166.01868,66.97516,61828.125
2018-10-31 13:30:00,-8.451065,373.56845,171.94513,70.763855,64706.902
2018-10-31 13:31:00,-21.537378,360.46146,190.39862,70.457886,69949.04
2018-10-31 13:32:00,-11.245772,366.98013,179.48372,70.45346,66895.0
2018-10-31 13:33:00,-5.6154447,372.4479,170.19753,69.702774,64022.785
2018-10-31 13:34:00,2.4118695,379.63644,148.79247,70.04281,57090.08
2018-10-31 13:35:00,-7.944875,366.25635,187.21962,72.03652,69932.6
2018-10-31 13:36:00,-20.463024,347.67773,254.03185,72.670555,94499.62
2018-10-31 13:37:00,-17.393429,361.18,196.92397,71.87305,72566.26
2018-10-31 13:38:00,-15.293602,365.4094,178.7193,70.12874,66013.58
2018-10-31 13:39:00,-11.873114,368.90787,182.42284,73.336464,68014.7
2018-10-31 13:40:00,-12.206853,371.34454,178.8171,73.346405,67080.5
2018-10-31 13:41:00,-5.4813404,374.59903,172.33052,72.80176,64973.027
2018-10-31 13:42:00,8.222971,386.03018,167.52544,73.59044,64759.973
2018-10-31 13:43:00,2.3097305,382.44595,174.37366,71.40666,66730.77
2018-10-31 13:44:00,-4.026977,375.16724,187.24654,74.20241,70536.38
2018-10-31 13:45:00,-19.370602,367.66394,180.86626,72.40674,67175.734
2018-10-31 13:46:00,-16.306812,371.77686,178.37225,72.830246,66894.31
2018-10-31 13:47:00,-15.0033655,373.2114,177.86473,73.29592,66837.195
2018-10-31 13:48:00,-15.0411,373.59927,179.6932,73.72112,67605.15
2018-10-31 13:49:00,-11.55313,377.23145,181.42415,74.35667,68994.2
2018-10-31 13:50:00,-19.159212,371.8345,184.19736,73.532776,69014.4
2018-10-31 13:51:00,-21.61216,369.839,182.54044,72.92425,67971.5
2018-10-31 13:52:00,-6.619076,377.49115,186.76637,76.761765,70739.766
2018-10-31 13:53:00,-11.895187,370.06754,188.07709,75.507034,70058.945
2018-10-31 13:54:00,-3.8461044,375.49466,175.59932,72.08685,66808.03
2018-10-31 13:55:00,-1.1934104,379.24106,164.51442,71.01833,63499.87
2018-10-31 13:56:00,-0.08623813,380.82135,159.31577,69.82728,61750.938
